Average size,Src Port,Dst Port,Protocol,Time,Category
64,61402,5355,0,0.0,Network
64,49710,5355,0,21.5,Network
64,60308,5355,0,7.5,Network
64,51809,5355,0,97.0,Network
64,59982,5355,0,0.5,Network
342,68,67,0,39.0,Network
84,54209,5355,0,20.0,Network
64,57050,5355,0,0.0,Network
92,137,137,0,59.33,System
148,5477,465,1,21.18,Email
84,55185,5355,0,13.5,Network
64,55185,5355,0,0.0,Network
84,64707,5355,0,0.5,Network
64,64707,5355,0,0.0,Network
64,50045,5355,0,0.0,Network
84,50045,5355,0,19.5,Network
64,49746,5355,0,0.0,Network
84,49746,5355,0,0.5,Network
84,63132,5355,0,0.0,Network
64,63132,5355,0,0.0,Network
84,54171,5355,0,34.0,Network
64,54171,5355,0,0.0,Network
173,54664,53,0,30.5,Network
179,54456,53,0,16.5,Network
179,54456,53,0,17.5,Network
297,5479,995,1,14.62,Email
84,59994,5355,0,0.5,Network
64,59994,5355,0,0.0,Network
84,50154,5355,0,15.5,Network
64,50154,5355,0,0.0,Network
64,51357,5355,0,0.0,Network
84,51357,5355,0,0.0,Network
64,52966,5355,0,0.0,Network
84,52966,5355,0,97.5,Network
84,54704,5355,0,6.5,Network
64,54704,5355,0,0.0,Network
64,50002,5355,0,0.5,Network
84,50002,5355,0,0.0,Network
64,50126,5355,0,59.5,Network
64,52648,5355,0,0.0,Network
64,65489,5355,0,0.5,Network
84,65489,5355,0,57.5,Network
84,59052,5355,0,0.5,Network
64,59052,5355,0,0.0,Network
64,54057,5355,0,0.5,Network
84,54057,5355,0,0.0,Network
84,62905,5355,0,22.0,Network
64,62905,5355,0,0.0,Network
64,49313,5355,0,0.5,Network
84,49313,5355,0,11.5,Network
84,59660,5355,0,0.0,Network
64,59660,5355,0,0.0,Network
84,52130,5355,0,0.0,Network
64,52130,5355,0,0.0,Network
64,54340,5355,0,0.5,Network
84,54340,5355,0,37.0,Network
84,54850,5355,0,0.5,Network
64,54850,5355,0,0.0,Network
84,54984,5355,0,84.0,Network
64,54984,5355,0,0.0,Network
243,138,138,0,11.0,System
92,137,137,0,154.33,System
64,51335,5355,0,22.5,Network
64,51599,5355,0,0.0,Network
84,54120,5355,0,0.0,Network
64,54120,5355,0,1.0,Network
84,63547,5355,0,0.0,Network
64,63547,5355,0,0.0,Network
64,63105,5355,0,0.5,Network
84,63105,5355,0,0.0,Network
84,52807,5355,0,76.0,Network
64,52807,5355,0,0.0,Network
84,53401,5355,0,0.0,Network
64,53401,5355,0,0.5,Network
84,61737,5355,0,4.5,Network
64,61737,5355,0,0.0,Network
84,53651,5355,0,0.0,Network
64,53651,5355,0,0.0,Network
84,60758,5355,0,19.0,Network
64,60758,5355,0,0.0,Network
246,5353,5353,0,60.5,Network
150,546,547,0,61.79,Network
64,55446,5355,0,11.5,Network
64,55947,5355,0,0.0,Network
64,63603,5355,0,6.5,Network
64,65001,5355,0,0.0,Network
84,55025,5355,0,53.0,Network
64,54421,5355,0,0.0,Network
84,58926,5355,0,14.0,Network
64,58926,5355,0,0.0,Network
64,60237,5355,0,0.0,Network
84,60237,5355,0,14.5,Network
84,60417,5355,0,0.5,Network
64,60417,5355,0,0.0,Network
84,64216,5355,0,0.5,Network
64,64216,5355,0,0.0,Network
84,52327,5355,0,23.5,Network
64,52327,5355,0,0.0,Network
84,59855,5355,0,88.0,Network
64,57922,5355,0,0.5,Network
84,50042,5355,0,0.5,Network
64,50042,5355,0,0.5,Network
84,61187,5355,0,12.0,Network
64,61187,5355,0,0.0,Network
64,63346,5355,0,13.0,Network
64,64259,5355,0,0.0,Network
84,57046,5355,0,0.5,Network
64,57046,5355,0,0.0,Network
64,62623,5355,0,0.0,Network
84,62623,5355,0,4.5,Network
64,55172,5355,0,0.5,Network
84,55172,5355,0,57.5,Network
84,65138,5355,0,0.0,Network
